_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d4163e278288439f2e"")",BTCUSDT,2024-03-16T11:43:41.000Z,68350.56,68350.57,68350.56,68350.57,0.11233
"ObjectId(""65f589d4163e278288439f2f"")",BTCUSDT,2024-03-16T11:43:42.000Z,68350.57,68350.57,68350.56,68350.56,0.65264
"ObjectId(""65f589d4163e278288439f30"")",BTCUSDT,2024-03-16T11:43:43.000Z,68350.56,68350.57,68350.56,68350.57,0.17315
"ObjectId(""65f589d4163e278288439f31"")",BTCUSDT,2024-03-16T11:43:44.000Z,68350.56,68350.57,68344.28,68344.28,0.4794
"ObjectId(""65f589d4163e278288439f32"")",BTCUSDT,2024-03-16T11:43:45.000Z,68344.28,68344.29,68344.28,68344.28,0.05781
"ObjectId(""65f589d4163e278288439f33"")",BTCUSDT,2024-03-16T11:43:46.000Z,68344.28,68344.28,68344.28,68344.28,0.21201
"ObjectId(""65f589d4163e278288439f34"")",BTCUSDT,2024-03-16T11:43:47.000Z,68344.28,68344.29,68344.28,68344.28,0.5364
"ObjectId(""65f589d4163e278288439f35"")",BTCUSDT,2024-03-16T11:43:48.000Z,68344.28,68367.99,68344.28,68367.98,2.0112
"ObjectId(""65f589d4163e278288439f36"")",BTCUSDT,2024-03-16T11:43:49.000Z,68367.98,68367.99,68367.98,68367.98,0.01445
"ObjectId(""65f589d4163e278288439f37"")",BTCUSDT,2024-03-16T11:43:50.000Z,68367.99,68367.99,68367.98,68367.99,0.16844
"ObjectId(""65f589d4163e278288439f38"")",BTCUSDT,2024-03-16T11:43:51.000Z,68367.99,68367.99,68367.98,68367.99,0.33667
"ObjectId(""65f589d4163e278288439f39"")",BTCUSDT,2024-03-16T11:43:52.000Z,68367.99,68367.99,68367.98,68367.99,0.51685
"ObjectId(""65f589d4163e278288439f3a"")",BTCUSDT,2024-03-16T11:43:53.000Z,68367.98,68367.98,68367.98,68367.98,0.02656
"ObjectId(""65f589d4163e278288439f3b"")",BTCUSDT,2024-03-16T11:43:54.000Z,68367.98,68367.99,68367.98,68367.99,0.27099
"ObjectId(""65f589d4163e278288439f3c"")",BTCUSDT,2024-03-16T11:43:55.000Z,68367.98,68367.98,68367.98,68367.98,0.1655
"ObjectId(""65f589d4163e278288439f3d"")",BTCUSDT,2024-03-16T11:43:56.000Z,68367.98,68367.98,68364,68364,0.83311
"ObjectId(""65f589d4163e278288439f3e"")",BTCUSDT,2024-03-16T11:43:57.000Z,68364,68364.01,68364,68364.01,0.55741
"ObjectId(""65f589d4163e278288439f3f"")",BTCUSDT,2024-03-16T11:43:58.000Z,68364,68364.01,68364,68364,0.10513
"ObjectId(""65f589d4163e278288439f40"")",BTCUSDT,2024-03-16T11:43:59.000Z,68364,68364,68357.62,68357.62,1.02959
"ObjectId(""65f589d4163e278288439f41"")",BTCUSDT,2024-03-16T11:44:00.000Z,68357.63,68357.63,68353.89,68353.89,0.24979
"ObjectId(""65f589d5163e278288439f42"")",BTCUSDT,2024-03-16T11:44:01.000Z,68353.89,68353.9,68348.01,68348.34,1.61757
"ObjectId(""65f589d5163e278288439f43"")",BTCUSDT,2024-03-16T11:44:02.000Z,68347.27,68347.27,68347.26,68347.27,0.55115
"ObjectId(""65f589d5163e278288439f44"")",BTCUSDT,2024-03-16T11:44:03.000Z,68347.26,68347.27,68347.26,68347.27,0.00031
